"Latitude,Longitude"
"23.71177,76.01571"
"24.89879,80.25921"
"23.38027,76.59875"
"26.02514,78.79697"
"22.31384,74.36452"
"23.76336,75.55662"
"24.42664,80.03579"
"22.67486,81.75908"
"24.31371,80.97703"
"22.2978,79.16943"
"26.70423,78.22678"
"21.92485,78.12786"
"22.04171,75.05519"
"26.05804,78.21027"
"23.05674,81.68399"
"24.38109,77.41739"
"24.58,77.73"
"23.01754,76.72208"
"22.70256,77.93494"
"24.97516,77.5649"
"23.02181,75.23268"
"22.35905,74.79052"
"22.64124,76.34877"
"22.10133,80.54967"
"24.72768,81.40975"
"24.25106,79.28618"
"21.96667,80.33333"
"24.75619,79.06715"
"23.09454,74.76164"
"24.89298,78.15105"
"24.05539,78.08925"
"24.04488,78.96094"
"23.09678,80.05084"
"22.03065,79.7328"
"22.99138,79.8755"
"23.90326,80.81516"
"22.02485,74.91805"
"23.85153,77.93652"
"23.59917,78.34064"
"24.02423,81.37831"
"23.63134,77.43351"
"22.68653,75.61456"
"21.83333,77.83333"
"21.85572,77.92913"
"22.53048,74.32846"
"21.64491,77.63023"
"25.73581,78.74555"
"24.513,75.7469"
"24.41582,75.83552"
"21.86764,75.96391"
"26.5,78.75"
"25.79216,78.11085"
"23.25469,77.40289"
"23.9205,76.91074"
"24.62351,79.48994"
"24.93296,77.64352"
"23.16524,81.43262"
"21.31,76.23"
"23.21494,81.53204"
"24.71312,78.13809"
"23.65647,80.70911"
"25.07148,80.19294"
"24.75,79.75"
"22.05697,78.93958"
"22.83363,78.82611"
"24.42743,81.66948"
"26.00239,78.87658"
"25.88572,78.33221"
"23.75,79.58333"
"25.75,78.5"
"23.39017,79.0163"
"22.85095,75.54224"
"23,76.16667"
"22.20928,75.47057"
"23.74697,78.86234"
"22.59373,75.29774"
"22.14951,75.34439"
"22.8,81.1"
"24.18351,78.20289"
"22.9235,78.7849"
"23.86873,77.35731"
"23.7791,79.14321"
"22.98664,75.51921"
"22.65976,79.95013"
"23.55746,75.51665"
"26.43278,78.44205"
"24.37845,81.29644"
"24.55464,77.20082"
"24.50265,81.50037"
"26.22983,78.17337"
"22.23406,76.96431"
"22.34414,77.09536"
"25.28773,79.33279"
"22.61428,79.22207"
"22.09947,76.73423"
"22.79378,75.73928"
"24.13406,79.60119"
"23.90345,79.56861"
"22.58827,77.98887"
"23.00943,76.5007"
"23.02816,77.01729"
"23.14667,76.39044"
"22.66667,75.75"
"24.83906,77.88274"
"22.61477,77.76222"
"23.16,79.95"
"23.68582,81.39085"
"23.20856,78.61487"
"22.19644,78.59191"
"23.63783,75.12711"
"25.00964,79.04869"
"24.59916,74.86261"
"22.76772,74.59087"
"24.30871,74.89087"
"22.41599,74.56828"
"26.30498,77.616"
"23.38465,79.7442"
"22.66764,76.74286"
"22.91533,79.06378"
"25.45815,78.13583"
"23.94891,78.86584"
"22.12745,75.61101"
"21.77369,79.80513"
"23.83555,80.39417"
"23.42322,75.28185"
"25.34127,78.53133"
"24.84809,79.93351"
"23.22558,79.88007"
"21.82427,76.35086"
"21.75,76.58333"
"24.823,79.144"
"21.82306,75.61028"
"22.59573,76.9133"
"24.03943,76.578"
"22.16732,76.86137"
"23.78597,76.61773"
"24.04372,78.33014"
"25.21928,77.61167"
"24.11774,78.04007"
"24.69802,80.98073"
"24.7526,80.77751"
"23.20383,81.97904"
"25.0308,81.31908"
"22.20677,74.75788"
"24.37338,77.04841"
"26.19401,78.94137"
"22.60049,79.60094"
"24.05979,77.40858"
"21.58235,78.85911"
"24.12767,76.31672"
"24.56401,80.91126"
"22.17592,75.58715"
"26.49471,78.61593"
"24.26594,80.76063"
"23.50114,79.92396"
"23.25999,76.14567"
"24.28286,74.99024"
"24.47764,75.14095"
"22.23566,75.08917"
"23.08166,77.53328"
"22.64041,80.51344"
"22.17598,75.65995"
"24.33333,75.25"
"24.66754,81.54644"
"22.43151,75.62107"
"26.26584,78.67108"
"24.66721,81.87339"
"26.28373,78.98048"
"21.63941,78.73638"
"26.2264,78.22482"
"26.16667,77.5"
"21.77463,78.25756"
"22.06693,76.49326"
"24.40837,78.09588"
"23.83776,80.39405"
"23.45834,75.41759"
"24.56924,80.58809"
"24.78686,81.77868"
"22.42996,80.10561"
"23.46115,75.06036"
"25.19033,80.475"
"24.27083,75.05007"
"22.91667,79.16667"
"23.70758,77.09319"
"25.6439,77.9129"
"22.6837,77.27069"
"24.47,74.87"
"21.4538,76.39335"
"25.35192,78.64033"
"22.46791,78.43312"
"25.02013,79.22818"
"23.36453,81.04374"
"23.28539,79.99509"
"22.20568,78.55093"
"21.69816,76.22487"
"21.59556,78.52628"
"24.5,80.25"
"21.65981,74.69937"
"22.1913,78.75904"
"23.28636,79.68962"
"23.89921,79.19393"
"24.26635,80.16196"
"23.01102,74.79772"
"23.35,75.43333"
"22.60197,75.69649"
"26.67444,78.37081"
"22.23507,76.39335"
"24.44318,77.19768"
"23.78968,78.39473"
"23.25,78.08333"
"22.67821,74.94483"
"24.88929,79.91178"
"22.30393,74.35568"
"24.467,75.43996"
"22.64704,74.52118"
"24.81667,75.11667"
"23.33033,75.04032"
"23.63722,79.06275"
"22.73781,77.43399"
"24.53256,81.29234"
"26.24918,77.40786"
"23.75,78.75"
"23.46219,74.92318"
"22.17391,76.06993"
"23.48646,77.7378"
"22.97415,75.8271"
"23.56651,76.47306"
"24.5,81"
"22.53628,76.68452"
"23.83877,78.73874"
"21.65576,78.79669"
"23.2,77.08333"
"21.68562,75.09622"
"26.15422,78.7812"
"22.08503,79.55037"
"22.45046,77.4665"
"23.5,81.5"
"24.31365,79.11806"
"21.23742,76.22558"
"23.13663,79.66402"
"23.5,76.25"
"24.18817,75.63903"
"25.8,77"
"25.42378,77.66223"
"23.40673,76.7098"
"24.25,82"
"23.4871,80.10404"
"24.79497,81.152"
"24.96667,75.3"
"24.19973,82.67535"
"24.83648,81.36448"
"24.10313,77.69055"
"24.01473,75.35324"
"24.98181,81.69558"
"22.70055,78.19522"
"23.13812,77.93404"
"23.94667,76.08825"
"23.71979,75.38514"
"23.56949,76.72821"
"23.33383,76.04253"
"25.99401,78.28322"
"23.3962,79.53947"
"24.98207,81.64194"
"23.00959,74.57747"
"24.74327,78.83061"
"21.68522,79.71906"
"23.07434,78.51108"
"23.41667,75.5"
"21.97102,80.46625"
"23.52473,80.83716"
"23.52874,80.83054"
"26.51056,78.93667"
"23.33794,75.55931"
"23.91667,78"
"21.76184,80.04301"
